audio/afr_8963_6542844630	Mbali het koppies meel nodig om 'n koek te bak.
audio/afr_8963_3239061389	Haar proeftydperk in die oorlog maak sy deur onder eerw. Vermeulen.
audio/afr_1919_9764465897	Hedendaagse Turkye is 'n demokratiese, sekulêre eenheidstaat en besit 'n republikeinse grondwet.
audio/afr_6590_0996682008	Die paaltjiewagter staan agter die paaltjies.
audio/afr_8963_1689468582	Op die bepaalde datum was D. S. Diedericks reeds in die woestyn.
audio/afr_8924_8213372836	een ses twee
audio/afr_1919_0798968089	Suidwes van die dorp lê die Krambergreeks wat tot ongeveer 2100 m bo seespieël ryk.
audio/afr_7214_1793534003	Dit is 49 grade Celsius in Cedarville met wind
audio/afr_6590_4709262721	vier, ses, dertien
audio/afr_8148_2269204230	Die Bizhub Highveld Lions was tot 149 lopies beperk met 28 ekstra
audio/afr_8148_8180823005	Die gevaarlike M70 snelweg loop reg deur die spookdorp.
audio/afr_6590_0690350635	Quinton Friend se syfers was 6 vir 132 , van 17 boulbeurte, met 7 leë boulbeurte, 3 foutballe en 8 wydlopers.
audio/afr_8963_0084022037	In Augustus 1990 was hy terug by sy ou laerskool.
audio/afr_6590_6162579824	twee drie twee
audio/afr_6590_9836284061	Wat kon jy doen om 'n beter vuurpyl te bou?
audio/afr_7214_4151995301	Gee die antwoord korrek tot twee desimale plekke.
audio/afr_8963_1140859549	Hoeveel gaan die oproep hom kos?
audio/afr_6590_6915512020	Litaue is afgesien daarvan ongelukkig nie ryk bedeel met enige natuurlike hulpbronne nie.
audio/afr_7214_0936942700	Die temperatuur in Barberton is 5 grade Celsius
audio/afr_2418_2994547684	Dus, sy uitgawes sal sy inkomste oorskrei na jaar.
audio/afr_1919_7424007354	honderd en, duisend en, miljoen en, miljard, biljoen en, triljoen en
audio/afr_1919_2048314840	Like a flash he launched himself into the feathered mass of the owl.
audio/afr_7214_5364440536	Die fraai mooi meisies is in daardie eeu baie eenvoudig grootgemaak.
audio/afr_7130_0258572384	Dit is minus 1 grade Celsius in Port St. Johns met sneeu
audio/afr_8963_7563377835	And Tom King patiently endured.
audio/afr_7130_5348004433	vier sewe vier
audio/afr_8924_1246201718	Die een pleeg 'n moord en die ander slaan toe op vlug.
audio/afr_7214_7649947156	Die mees bekende duiwe sluit in: lokduiwe, sierduiwe en posduiwe.
audio/afr_8148_5765188186	And I hope you've got plenty of chain out, Captain Young.
audio/afr_8924_8563588097	Goldman laat vaar hierna sy studies in zoologie in Ghana.
audio/afr_7214_2717696189	Die meer is 121 km lank, 34.5 km wyd en tot 28 m diep.
audio/afr_7214_4383649670	Jou onderwyser sal jou hiermee help.
audio/afr_7214_0001153034	Die temperatuur in Germiston is 1 grade Celsius
audio/afr_6590_6722441971	The creative joy, I murmured.
audio/afr_2418_6324613010	Dus en is nie loodreg op mekaar nie.
audio/afr_0184_6914142021	Hy hou hulle skerp deur hulle teen 'n spesiale klip te skuur.
audio/afr_7214_1929104311	Vir hierdie sportsoort word 'n leerbal met 'n omtrek van 68 cm gewoonlik gebruik.
audio/afr_8148_6277975437	Beyond dispute, Corry Hutchinson had married Mabel Holmes.
audio/afr_0184_6595770715	Vleis kook op 'n houtvuur in Khayelitsha.
audio/afr_2418_9363633840	Ah, we were very close together in that moment.
audio/afr_7130_7977443551	Hiiumaa is ook in teenstelling relatief dig bebos en gevolglik dunbevolk.
audio/afr_6590_7475607156	Also, churches and preachers I had never known.
audio/afr_8148_6085729153	'n familie blomplante is na 'n bekende wetenskaplike vernoem.
audio/afr_7130_1850114784	The Fire People, like ourselves, lived in caves.
audio/afr_7130_3790270964	Wash your hands of me.
audio/afr_1919_2140311310	Much, replied Jeanne, as tersely.
audio/afr_7214_5677224555	Jong akkedissies het ook nie 'n blou oogstreep nie.
audio/afr_7214_4383433079	Kom ons kyk nou na vloeistowwe.
audio/afr_0184_0715965796	Hierna volg oudergewoonte ook 'n partytjie in Polokwane.
audio/afr_7214_1260244151	Die N2- nasionale pad zoem langs die dorpie genaamd Ghoeries verby.
audio/afr_7130_7840995098	Daar word ongeveer 540 ml bloed op 'n dag getrek.
audio/afr_8963_6880914365	I was near the cabin, and saw you.
audio/afr_7130_3948972825	At sea, Wednesday, March 18, 1908.
audio/afr_7214_9942939097	Jy moet ophou druk sodra jou vingers aan die water raak.
audio/afr_7130_1932371394	Die taai rooi alge kom voor in riwwe of seegrasbeddings.
audio/afr_8148_3091066221	Then you don't believe in altruism.
audio/afr_8148_7744187195	Zen Garden is 9 km wes van Zombies.
audio/afr_7214_2551680305	Om prooi te lok, kom sy ook snags uit om te weef.
audio/afr_8148_1456505133	P.A. Roux is in dieselfde jaar as ds. "Rooibaard" Rautenbach oorlede.
audio/afr_7130_6226980023	Elkeen koördineer slegs haar afdeling se bepaalde aktiwiteite.
